PE_L1_1 PE_L1_2 PE_L1_3 PE_L1_4 PE_L1_5 PE_L1_6 PE_L1_7 PE_L1_8 PE_L1_9 PE_L2_1 PE_L2_2 PE_L2_3 PE_L2_4 PE_L2_5 PE_L2_6 PE_L2_7 PE_L2_8 PE_L2_9 PE_L3_1 PE_L3_2 PE_L3_3 PE_L3_4 PE_L3_5 PE_L3_6 PE_L3_7 PE_L3_8 PE_L3_9 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 34 26 20 20 0 23 25 23 27 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 34 26 20 20 0 23 25 23 27 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 34 26 20 20 0 23 25 23 27 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 34 26 20 20 0 23 25 23 27 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 34 26 20 20 0 23 25 23 27 
0 0 0 0 0 0 0 0 0 24 0 23 0 0 0 24 0 23 21 26 20 20 0 23 25 23 27 
0 0 0 0 0 0 0 0 0 24 0 23 0 0 0 24 0 23 21 26 20 20 0 23 25 23 27 
0 0 0 0 0 0 0 0 0 24 0 23 0 0 0 24 0 23 21 26 20 20 0 23 25 23 27 
0 0 0 0 0 0 0 0 0 24 0 23 0 0 0 24 0 23 21 26 20 20 0 23 25 23 27 
0 0 0 0 0 0 0 0 0 24 0 23 0 0 0 24 0 23 21 26 20 20 0 23 25 23 27 
0 0 0 0 0 0 0 0 0 24 0 23 0 0 0 24 0 23 21 26 20 20 0 23 25 23 27 
0 0 0 0 0 0 0 0 0 24 0 23 0 0 0 24 0 23 21 26 20 20 0 23 25 23 27 
0 0 0 0 0 0 0 0 0 24 0 23 0 0 0 24 0 23 21 26 20 20 0 23 25 23 27 
0 0 0 0 0 0 0 0 0 24 0 23 0 0 0 24 0 23 21 26 20 20 0 23 25 23 27 
0 0 0 0 0 0 0 0 0 24 0 23 0 0 0 24 0 23 21 26 20 20 0 23 25 23 27 
0 0 0 0 0 0 0 0 0 24 0 23 0 0 0 24 0 23 21 26 20 20 0 23 25 23 27 
0 0 0 0 0 0 0 0 0 24 0 23 0 0 0 24 0 23 21 26 20 20 0 23 25 23 27 
0 0 0 0 0 0 0 0 0 24 0 23 0 0 0 24 0 23 21 26 20 20 0 23 25 23 27 
0 0 0 0 0 0 0 0 0 24 0 23 0 0 0 24 0 23 21 26 20 20 0 23 25 23 27 
0 0 0 0 0 0 0 0 0 24 0 23 0 0 0 24 0 23 21 26 20 20 0 23 25 23 27 
0 0 0 0 0 0 0 0 0 24 0 23 0 0 0 24 0 23 21 26 20 20 0 23 25 23 27 
0 0 0 0 0 0 0 0 0 24 0 23 0 0 0 24 0 23 21 26 20 20 0 23 25 23 27 
0 0 0 0 0 0 0 0 0 24 0 23 0 0 0 24 0 23 21 26 20 20 0 23 25 23 27 
0 0 0 0 0 0 0 0 0 24 0 23 0 0 0 24 0 23 21 26 20 20 0 23 25 23 27 
0 0 0 0 0 0 0 0 0 24 0 23 0 0 0 24 0 23 21 26 20 20 0 23 25 23 27 
0 0 0 0 0 0 0 0 0 24 0 23 0 0 0 24 0 23 21 26 20 20 0 23 25 23 27 
0 0 0 0 0 0 0 0 0 24 0 23 0 0 0 24 0 23 21 26 20 20 0 23 25 23 27 
0 0 0 0 0 0 0 0 0 24 0 23 0 0 0 24 0 23 21 26 20 20 0 23 25 23 27 
0 0 0 0 0 0 0 0 0 24 0 23 0 0 0 24 0 23 21 26 20 20 0 23 25 23 27 
0 0 0 0 0 0 0 0 0 24 0 23 0 0 0 24 0 23 21 26 20 20 0 23 25 23 27 
0 0 0 0 0 0 0 0 0 24 0 23 0 0 0 24 0 23 21 26 20 20 0 23 25 23 27 
0 0 0 0 0 0 0 0 0 24 0 23 0 0 0 24 0 23 21 26 20 20 0 23 25 23 27 
0 0 0 0 0 0 0 0 0 24 0 23 0 0 0 24 0 23 21 26 20 20 0 23 25 23 27 
0 0 0 0 0 0 0 0 0 24 0 23 0 0 0 24 0 23 21 26 20 20 0 23 25 23 27 
0 0 0 0 0 0 0 0 0 24 0 23 0 0 0 24 0 23 21 26 20 20 0 23 25 23 27 
0 0 0 0 0 0 0 0 0 24 0 23 0 0 0 24 0 23 21 26 20 20 0 24 25 23 27 
0 0 0 0 0 0 0 0 0 24 0 23 0 0 0 24 0 23 21 26 20 20 0 24 25 23 27 
0 0 0 0 0 0 0 0 0 24 0 23 0 0 0 24 0 23 21 26 20 20 0 24 25 23 27 
0 0 0 0 0 0 0 0 0 24 0 23 0 0 0 24 0 23 21 26 20 20 0 24 25 23 27 
0 0 0 0 0 0 0 0 0 24 0 23 0 0 0 24 0 23 21 26 20 20 0 24 25 23 27 
0 0 0 0 0 0 0 0 0 24 0 23 0 0 0 24 0 23 21 26 20 20 0 24 25 23 27 
0 0 0 0 0 0 0 0 0 24 0 23 0 0 0 24 0 23 21 26 20 20 0 24 25 23 27 
0 0 0 0 0 0 0 0 0 24 0 23 0 0 0 24 0 23 21 26 20 20 0 24 25 23 27 
0 0 0 0 0 0 0 0 0 24 0 23 0 0 0 24 0 23 21 26 20 20 0 24 25 23 27 
0 0 0 0 0 0 0 0 0 24 0 23 0 0 0 24 0 23 21 26 20 20 0 24 25 23 27 
0 0 0 0 0 0 0 0 0 24 0 23 0 0 0 24 0 23 21 23 20 20 0 24 25 23 27 
0 0 0 0 0 0 0 0 0 24 0 23 0 0 0 24 0 23 21 23 20 20 0 24 25 23 27 
0 0 0 0 0 0 0 0 0 24 0 23 0 0 0 24 0 23 21 23 20 20 0 24 25 23 27 
0 0 0 0 0 0 0 0 0 24 0 23 0 0 0 24 0 23 21 23 20 20 0 24 25 23 27 
0 0 0 0 0 0 0 0 0 24 0 23 0 0 0 24 0 23 21 23 20 20 0 24 25 23 27 
0 0 0 0 0 0 0 0 0 24 0 23 0 0 0 24 0 23 21 23 20 20 0 24 25 23 27 
0 0 0 0 0 0 0 0 0 24 0 23 0 0 0 24 0 23 21 23 20 20 0 24 25 23 27 
0 0 0 0 0 0 0 0 0 24 0 23 0 0 0 24 0 23 21 23 20 20 0 24 25 23 27 
0 0 0 0 0 0 0 0 0 24 0 23 0 0 0 24 0 23 21 23 20 20 0 24 25 23 27 
0 0 0 0 0 0 0 0 0 24 0 23 0 0 0 24 0 23 21 23 20 20 0 24 25 23 27 
0 0 0 0 0 0 0 0 0 24 0 23 0 0 0 24 0 23 21 23 23 20 0 24 25 23 27 
0 0 0 0 0 0 0 0 0 24 0 23 0 0 0 24 0 23 21 23 23 20 0 24 25 23 27 
0 0 0 0 0 0 0 0 0 24 0 23 0 0 0 24 0 23 21 23 23 20 0 24 25 23 27 
0 0 0 0 0 0 0 0 0 24 0 23 0 0 0 24 0 23 21 23 23 20 0 24 25 23 27 
0 0 0 0 0 0 0 0 0 24 0 23 0 0 0 24 0 23 21 23 23 20 0 24 25 23 27 
0 0 0 0 0 0 0 0 0 24 0 23 0 0 0 24 0 23 21 23 23 20 0 24 25 23 27 
0 0 0 0 0 0 0 0 0 24 0 23 0 0 0 24 0 23 21 23 23 20 0 24 25 23 27 
0 0 0 0 0 0 0 0 0 24 0 23 0 0 0 24 0 23 21 23 23 20 0 24 25 23 27 
0 0 0 0 0 0 0 0 0 24 0 23 0 0 0 24 0 23 21 23 23 20 0 24 25 23 27 
0 0 0 0 0 0 0 0 0 24 0 23 0 0 0 24 0 23 21 23 23 20 0 24 25 23 27 
0 0 0 0 0 0 0 0 0 24 0 23 0 0 0 27 0 23 21 23 23 20 0 24 25 23 26 
0 0 0 0 0 0 0 0 0 24 0 23 0 0 0 27 0 23 21 23 23 20 0 24 25 23 26 
0 0 0 0 0 0 0 0 0 24 0 23 0 0 0 27 0 23 21 23 23 20 0 24 25 23 26 
0 0 0 0 0 0 0 0 0 24 0 23 0 0 0 27 0 23 21 23 23 20 0 24 25 23 26 
0 0 0 0 0 0 0 0 0 24 0 23 0 0 0 27 0 23 21 23 23 20 0 24 25 23 26 
0 0 0 0 0 0 0 0 0 24 0 23 0 0 0 27 0 23 21 23 23 20 0 24 25 23 26 
0 0 0 0 0 0 0 0 0 24 0 23 0 0 0 27 0 23 21 23 23 20 0 24 25 23 26 
0 0 0 0 0 0 0 0 0 24 0 23 0 0 0 27 0 23 21 23 23 20 0 24 25 23 26 
0 0 0 0 0 0 0 0 0 24 0 23 0 0 0 27 0 23 21 23 23 20 0 24 25 23 26 
0 0 0 0 0 0 0 0 0 24 0 23 0 0 0 27 0 23 21 23 23 20 0 24 25 23 26 
0 0 0 0 0 0 0 0 0 24 0 23 0 0 0 27 0 23 21 20 23 20 0 24 25 0 26 
0 0 0 0 0 0 0 0 0 24 0 23 0 0 0 27 0 23 21 20 23 20 0 24 25 0 26 
0 0 0 0 0 0 0 0 0 24 0 23 0 0 0 27 0 23 21 20 23 20 0 24 25 0 26 
0 0 0 0 0 0 0 0 0 24 0 23 0 0 0 27 0 23 21 20 23 20 0 24 25 0 26 
0 0 0 0 0 0 0 0 0 24 0 23 0 0 0 27 0 23 21 20 23 20 0 24 25 0 26 
0 0 0 0 0 0 0 0 0 24 0 23 0 0 0 27 0 23 21 20 23 20 0 24 25 0 26 
0 0 0 0 0 0 0 0 0 24 0 23 0 0 0 27 0 23 21 20 23 20 0 24 25 0 26 
0 0 0 0 0 0 0 0 0 24 0 23 0 0 0 27 0 23 21 20 23 20 0 24 25 0 26 
0 0 0 0 0 0 0 0 0 24 0 23 0 0 0 27 0 23 21 20 23 20 0 24 25 0 26 
0 0 0 0 0 0 0 0 0 24 0 23 0 0 0 27 0 23 21 20 23 20 0 24 25 0 26 
0 0 0 0 0 0 0 0 0 24 0 23 0 0 0 0 0 23 0 20 23 20 0 24 25 0 26 
0 0 0 0 0 0 0 0 0 24 0 23 0 0 0 0 0 23 0 20 23 20 0 24 25 0 26 
0 0 0 0 0 0 0 0 0 24 0 23 0 0 0 0 0 23 0 20 23 20 0 24 25 0 26 
0 0 0 0 0 0 0 0 0 24 0 23 0 0 0 0 0 23 0 20 23 20 0 24 25 0 26 
0 0 0 0 0 0 0 0 0 24 0 23 0 0 0 0 0 23 0 20 23 20 0 24 25 0 26 
0 0 0 0 0 0 0 0 0 24 0 23 0 0 0 0 0 23 0 20 23 20 0 24 25 0 26 
0 0 0 0 0 0 0 0 0 24 0 23 0 0 0 0 0 23 0 20 23 20 0 24 25 0 26 
0 0 0 0 0 0 0 0 0 24 0 23 0 0 0 0 0 23 0 20 23 20 0 24 25 0 26 
0 0 0 0 0 0 0 0 0 24 0 23 0 0 0 0 0 23 0 20 23 20 0 24 25 0 26 
0 0 0 0 0 0 0 0 0 24 0 23 0 0 0 0 0 23 0 20 23 20 0 24 25 0 26 
0 0 0 0 0 0 0 0 0 24 0 0 0 0 0 0 0 23 0 0 0 0 0 0 0 0 26 
0 0 0 0 0 0 0 0 0 24 0 0 0 0 0 0 0 23 0 0 0 0 0 0 0 0 26 
0 0 0 0 0 0 0 0 0 24 0 0 0 0 0 0 0 23 0 0 0 0 0 0 0 0 26 
0 0 0 0 0 0 0 0 0 24 0 0 0 0 0 0 0 23 0 0 0 0 0 0 0 0 26 
0 0 0 0 0 0 0 0 0 24 0 0 0 0 0 0 0 23 0 0 0 0 0 0 0 0 26 
0 0 0 0 0 0 0 0 0 24 0 0 0 0 0 0 0 23 0 0 0 0 0 0 0 0 26 
