PE_L1_1 PE_L1_2 PE_L1_3 PE_L1_4 PE_L2_1 PE_L2_2 PE_L2_3 PE_L2_4 
0 0 0 0 0 0 0 86 
0 0 0 0 0 0 0 86 
0 0 0 0 0 0 0 86 
0 0 0 0 0 0 0 86 
0 0 0 0 0 0 0 86 
0 0 0 0 0 0 0 86 
0 0 0 0 0 0 0 86 
0 0 0 0 0 0 0 86 
0 0 0 0 0 0 0 86 
0 0 0 0 0 0 0 86 
0 0 0 0 0 0 0 86 
0 0 0 0 0 0 0 86 
0 0 0 0 0 0 0 86 
0 0 0 0 0 0 0 86 
0 0 0 0 0 0 0 86 
0 0 0 0 0 0 0 86 
0 0 0 0 0 0 0 86 
0 0 0 0 0 0 0 86 
0 0 0 0 0 0 0 86 
0 0 0 0 0 0 0 86 
0 0 0 0 0 0 0 86 
0 0 0 0 0 0 0 86 
0 0 0 0 0 0 0 86 
0 0 0 0 0 0 0 86 
0 0 0 0 0 0 0 86 
0 0 0 0 0 0 0 86 
0 0 0 0 0 0 0 86 
0 0 0 0 0 0 0 86 
0 0 0 0 0 0 0 86 
0 0 0 0 0 0 0 86 
0 0 0 0 0 0 0 86 
0 0 0 0 0 0 0 86 
0 0 0 0 0 0 0 86 
0 0 0 0 0 0 0 86 
0 0 0 0 0 0 0 86 
0 0 0 0 0 0 0 86 
0 0 0 0 0 0 0 86 
0 0 0 0 0 0 0 86 
0 0 0 0 0 0 0 86 
0 0 0 0 0 0 0 86 
0 0 0 0 0 0 0 86 
0 0 0 0 0 0 0 86 
0 0 0 0 0 0 0 86 
0 0 0 0 0 0 0 86 
0 0 0 0 0 0 0 86 
0 0 0 0 0 0 0 86 
0 0 0 0 0 0 0 86 
0 0 0 0 0 0 0 86 
0 0 0 0 0 0 0 86 
0 0 0 0 0 0 0 86 
0 0 0 0 0 0 0 86 
0 0 0 0 0 0 0 86 
0 0 0 0 0 0 0 86 
0 0 0 0 0 0 0 86 
0 0 0 0 0 0 0 86 
0 0 0 0 0 0 0 86 
0 0 0 0 0 0 0 86 
0 0 0 0 0 0 0 86 
0 0 0 0 0 0 0 86 
0 0 0 0 0 0 0 86 
0 0 0 0 0 0 0 86 
0 0 0 0 0 0 0 86 
0 0 0 0 0 0 0 86 
0 0 0 0 0 0 0 86 
0 0 0 0 0 0 0 86 
0 0 0 0 0 0 0 86 
0 0 0 0 0 0 0 86 
0 0 0 0 0 0 0 86 
0 0 0 0 0 0 0 86 
0 0 0 0 0 0 0 86 
0 0 0 0 0 0 0 86 
0 0 0 0 0 0 0 86 
0 0 0 0 0 0 0 86 
0 0 0 0 0 0 0 86 
0 0 0 0 0 0 0 86 
0 0 0 0 0 0 0 86 
0 0 0 0 0 0 0 86 
0 0 0 0 0 0 0 86 
0 0 0 0 0 0 0 86 
0 0 0 0 0 0 0 86 
0 0 0 0 0 0 0 86 
0 0 0 0 0 0 0 86 
0 0 0 0 0 0 0 86 
0 0 0 0 0 0 0 86 
0 0 0 0 0 0 0 86 
0 0 0 0 0 0 0 86 
0 0 0 0 0 0 0 86 
0 0 0 0 0 0 0 86 
0 0 0 0 0 0 0 86 
0 0 0 0 0 0 0 86 
0 0 0 0 0 0 0 86 
0 0 0 0 0 0 0 86 
0 0 0 0 0 0 0 86 
0 0 0 0 0 0 0 86 
0 0 0 0 0 0 0 86 
0 0 0 0 0 0 0 86 
0 0 0 0 0 0 0 86 
0 0 0 0 0 0 0 86 
0 0 0 0 0 0 0 86 
0 0 0 0 0 0 0 86 
0 0 0 0 0 0 0 86 
0 0 0 0 0 0 0 86 
0 0 0 0 0 0 0 86 
0 0 0 0 0 0 0 86 
0 0 0 0 0 0 0 86 
0 0 0 0 0 0 0 86 
0 0 0 0 0 0 0 86 
0 0 0 0 0 0 0 86 
0 0 0 0 0 0 0 86 
0 0 0 0 0 0 0 86 
0 0 0 0 0 0 0 86 
0 0 0 0 0 0 0 86 
0 0 0 0 0 0 0 86 
0 0 0 0 0 0 0 86 
0 0 0 0 0 0 0 86 
0 0 0 0 0 0 0 86 
0 0 0 0 0 0 0 86 
0 0 0 0 0 0 0 86 
0 0 0 0 0 0 0 86 
0 0 0 0 0 0 0 86 
0 0 0 0 0 0 0 86 
0 0 0 0 0 0 0 86 
0 0 0 0 0 0 0 86 
0 0 0 0 0 0 0 86 
0 0 0 0 0 0 0 86 
0 0 0 0 0 0 0 86 
0 0 0 0 0 0 0 86 
0 0 0 0 0 0 0 88 
0 0 0 0 0 0 0 88 
0 0 0 0 0 0 0 88 
0 0 0 0 0 0 0 88 
0 0 0 0 0 0 0 88 
0 0 0 0 0 0 0 88 
0 0 0 0 0 0 0 88 
0 0 0 0 0 0 0 88 
0 0 0 0 0 0 0 88 
0 0 0 0 0 0 0 88 
0 0 0 0 0 0 0 88 
0 0 0 0 0 0 0 88 
0 0 0 0 0 0 0 88 
0 0 0 0 0 0 0 88 
0 0 0 0 0 0 0 88 
0 0 0 0 0 0 0 88 
0 0 0 0 0 0 0 88 
0 0 0 0 0 0 0 88 
0 0 0 0 0 0 0 88 
0 0 0 0 0 0 0 88 
0 0 0 0 0 0 0 88 
0 0 0 0 0 0 0 88 
0 0 0 0 0 0 0 88 
0 0 0 0 0 0 0 88 
0 0 0 0 0 0 0 88 
0 0 0 0 0 0 0 88 
0 0 0 0 0 0 0 88 
0 0 0 0 0 0 0 88 
0 0 0 0 0 0 0 88 
0 0 0 0 0 0 0 88 
0 0 0 0 0 0 0 88 
0 0 0 0 0 0 0 88 
0 0 0 0 0 0 0 88 
0 0 0 0 0 0 0 88 
0 0 0 0 0 0 0 88 
0 0 0 0 0 0 0 88 
0 0 0 0 0 0 0 88 
0 0 0 0 0 0 0 88 
0 0 0 0 0 0 0 88 
0 0 0 0 0 0 0 88 
0 0 0 0 0 0 0 88 
0 0 0 0 0 0 0 88 
0 0 0 0 0 0 0 88 
0 0 0 0 0 0 0 88 
0 0 0 0 0 0 0 88 
0 0 0 0 0 0 0 88 
0 0 0 0 0 0 0 88 
0 0 0 0 0 0 0 88 
0 0 0 0 0 0 0 88 
0 0 0 0 0 0 0 88 
0 0 0 0 0 0 0 88 
0 0 0 0 0 0 0 88 
0 0 0 0 0 0 0 88 
0 0 0 0 0 0 0 88 
0 0 0 0 0 0 0 88 
0 0 0 0 0 0 0 88 
0 0 0 0 0 0 0 88 
0 0 0 0 0 0 0 88 
0 0 0 0 0 0 0 88 
0 0 0 0 0 0 0 88 
0 0 0 0 0 0 0 88 
0 0 0 0 0 0 0 88 
0 0 0 0 0 0 0 88 
0 0 0 0 0 0 0 88 
0 0 0 0 0 0 0 88 
0 0 0 0 0 0 0 88 
0 0 0 0 0 0 0 88 
0 0 0 0 0 0 0 88 
0 0 0 0 0 0 0 88 
0 0 0 0 0 0 0 88 
0 0 0 0 0 0 0 88 
0 0 0 0 0 0 0 88 
0 0 0 0 0 0 0 88 
0 0 0 0 0 0 0 88 
0 0 0 0 0 0 0 88 
0 0 0 0 0 0 0 88 
0 0 0 0 0 0 0 88 
0 0 0 0 0 0 0 88 
0 0 0 0 0 0 0 88 
0 0 0 0 0 0 0 88 
0 0 0 0 0 0 0 88 
0 0 0 0 0 0 0 88 
0 0 0 0 0 0 0 88 
0 0 0 0 0 0 0 88 
0 0 0 0 0 0 0 88 
0 0 0 0 0 0 0 88 
0 0 0 0 0 0 0 88 
0 0 0 0 0 0 0 88 
0 0 0 0 0 0 0 88 
0 0 0 0 0 0 0 88 
0 0 0 0 0 0 0 88 
0 0 0 0 0 0 0 88 
0 0 0 0 0 0 0 88 
0 0 0 0 0 0 0 88 
0 0 0 0 0 0 0 88 
0 0 0 0 0 0 0 88 
0 0 0 0 0 0 0 88 
0 0 0 0 0 0 0 88 
0 0 0 0 0 0 0 88 
0 0 0 0 0 0 0 88 
0 0 0 0 0 0 0 88 
0 0 0 0 0 0 0 88 
0 0 0 0 0 0 0 88 
0 0 0 0 0 0 0 88 
0 0 0 0 0 0 0 88 
0 0 0 0 0 0 0 88 
0 0 0 0 0 0 0 88 
0 0 0 0 0 0 0 88 
0 0 0 0 0 0 0 88 
0 0 0 0 0 0 0 88 
0 0 0 0 0 0 0 88 
0 0 0 0 0 0 0 88 
0 0 0 0 0 0 0 88 
0 0 0 0 0 0 0 88 
0 0 0 0 0 0 0 88 
0 0 0 0 0 0 0 88 
0 0 0 0 0 0 0 88 
0 0 0 0 0 0 0 88 
0 0 0 0 0 0 0 88 
0 0 0 0 0 0 0 88 
0 0 0 0 0 0 0 88 
0 0 0 0 0 0 0 88 
0 0 0 0 0 0 0 88 
0 0 0 0 0 0 0 88 
0 0 0 0 0 0 0 88 
0 0 0 0 0 0 0 88 
0 0 0 0 0 0 0 88 
0 0 0 0 0 0 0 88 
0 0 0 0 0 0 0 88 
0 0 0 0 0 0 0 88 
0 0 0 0 0 0 0 88 
0 0 0 0 0 0 0 88 
0 0 0 0 0 0 0 88 
0 0 0 0 0 0 0 88 
0 0 0 0 0 0 0 88 
0 0 0 0 0 0 0 88 
0 0 0 0 0 0 0 88 
0 0 0 0 0 0 0 88 
0 0 0 0 0 0 0 88 
0 0 0 0 0 0 0 88 
0 0 0 0 0 0 0 88 
0 0 0 0 0 0 0 88 
0 0 0 0 0 0 0 88 
0 0 0 0 0 0 0 88 
0 0 0 0 0 0 0 88 
0 0 0 0 0 0 0 88 
0 0 0 0 0 0 0 88 
0 0 0 0 0 0 0 88 
0 0 0 0 0 0 0 88 
0 0 0 0 0 0 0 88 
0 0 0 0 0 0 0 80 
0 0 0 0 0 0 0 80 
0 0 0 0 0 0 0 80 
0 0 0 0 0 0 0 80 
0 0 0 0 0 0 0 80 
0 0 0 0 0 0 0 80 
0 0 0 0 0 0 0 80 
0 0 0 0 0 0 0 80 
0 0 0 0 0 0 0 80 
0 0 0 0 0 0 0 80 
0 0 0 0 0 0 0 80 
0 0 0 0 0 0 0 80 
0 0 0 0 0 0 0 80 
0 0 0 0 0 0 0 80 
0 0 0 0 0 0 0 80 
0 0 0 0 0 0 0 80 
0 0 0 0 0 0 0 80 
0 0 0 0 0 0 0 80 
0 0 0 0 0 0 0 80 
0 0 0 0 0 0 0 80 
0 0 0 0 0 0 0 80 
0 0 0 0 0 0 0 80 
0 0 0 0 0 0 0 80 
0 0 0 0 0 0 0 80 
0 0 0 0 0 0 0 80 
0 0 0 0 0 0 0 80 
0 0 0 0 0 0 0 80 
0 0 0 0 0 0 0 80 
0 0 0 0 0 0 0 80 
0 0 0 0 0 0 0 80 
0 0 0 0 0 0 0 80 
0 0 0 0 0 0 0 80 
0 0 0 0 0 0 0 80 
0 0 0 0 0 0 0 80 
0 0 0 0 0 0 0 80 
0 0 0 0 0 0 0 80 
0 0 0 0 0 0 0 80 
0 0 0 0 0 0 0 80 
0 0 0 0 0 0 0 80 
0 0 0 0 0 0 0 80 
0 0 0 0 0 0 0 80 
0 0 0 0 0 0 0 80 
0 0 0 0 0 0 0 80 
0 0 0 0 0 0 0 80 
0 0 0 0 0 0 0 80 
0 0 0 0 0 0 0 80 
0 0 0 0 0 0 0 80 
0 0 0 0 0 0 0 80 
0 0 0 0 0 0 0 80 
0 0 0 0 0 0 0 80 
0 0 0 0 0 0 0 80 
0 0 0 0 0 0 0 80 
0 0 0 0 0 0 0 80 
0 0 0 0 0 0 0 80 
0 0 0 0 0 0 0 80 
0 0 0 0 0 0 0 80 
0 0 0 0 0 0 0 80 
0 0 0 0 0 0 0 80 
0 0 0 0 0 0 0 80 
0 0 0 0 0 0 0 80 
0 0 0 0 0 0 0 80 
0 0 0 0 0 0 0 80 
0 0 0 0 0 0 0 80 
0 0 0 0 0 0 0 80 
0 0 0 0 0 0 0 80 
0 0 0 0 0 0 0 80 
0 0 0 0 0 0 0 80 
0 0 0 0 0 0 0 80 
0 0 0 0 0 0 0 80 
0 0 0 0 0 0 0 80 
0 0 0 0 0 0 0 80 
0 0 0 0 0 0 0 80 
0 0 0 0 0 0 0 80 
0 0 0 0 0 0 0 80 
0 0 0 0 0 0 0 80 
0 0 0 0 0 0 0 80 
0 0 0 0 0 0 0 80 
0 0 0 0 0 0 0 80 
0 0 0 0 0 0 0 80 
0 0 0 0 0 0 0 80 
0 0 0 0 0 0 0 80 
0 0 0 0 0 0 0 80 
0 0 0 0 0 0 0 80 
0 0 0 0 0 0 0 80 
0 0 0 0 0 0 0 80 
0 0 0 0 0 0 0 80 
0 0 0 0 0 0 0 80 
0 0 0 0 0 0 0 80 
0 0 0 0 0 0 0 80 
0 0 0 0 0 0 0 80 
0 0 0 0 0 0 0 80 
0 0 0 0 0 0 0 80 
0 0 0 0 0 0 0 80 
0 0 0 0 0 0 0 80 
0 0 0 0 0 0 0 80 
0 0 0 0 0 0 0 80 
0 0 0 0 0 0 0 80 
0 0 0 0 0 0 0 80 
0 0 0 0 0 0 0 80 
0 0 0 0 0 0 0 80 
0 0 0 0 0 0 0 80 
0 0 0 0 0 0 0 80 
0 0 0 0 0 0 0 80 
0 0 0 0 0 0 0 80 
0 0 0 0 0 0 0 80 
0 0 0 0 0 0 0 80 
0 0 0 0 0 0 0 80 
0 0 0 0 0 0 0 80 
0 0 0 0 0 0 0 80 
0 0 0 0 0 0 0 80 
0 0 0 0 0 0 0 80 
0 0 0 0 0 0 0 80 
0 0 0 0 0 0 0 80 
0 0 0 0 0 0 0 80 
0 0 0 0 0 0 0 80 
0 0 0 0 0 0 0 80 
0 0 0 0 0 0 0 80 
0 0 0 0 0 0 0 80 
0 0 0 0 0 0 0 80 
0 0 0 0 0 0 0 80 
0 0 0 0 0 0 0 80 
0 0 0 0 0 0 0 80 
0 0 0 0 0 0 0 80 
0 0 0 0 0 0 0 80 
0 0 0 0 0 0 0 80 
0 0 0 0 0 0 0 80 
0 0 0 0 0 0 0 80 
0 0 0 0 0 0 0 80 
0 0 0 0 0 0 0 80 
0 0 0 0 0 0 0 80 
0 0 0 0 0 0 0 80 
0 0 0 0 0 0 0 80 
0 0 0 0 0 0 0 80 
0 0 0 0 0 0 0 80 
0 0 0 0 0 0 0 80 
0 0 0 0 0 0 0 80 
0 0 0 0 0 0 0 80 
0 0 0 0 0 0 0 80 
0 0 0 0 0 0 0 80 
0 0 0 0 0 0 0 80 
0 0 0 0 0 0 0 80 
0 0 0 0 0 0 0 80 
0 0 0 0 0 0 0 80 
0 0 0 0 0 0 0 80 
0 0 0 0 0 0 0 80 
0 0 0 0 0 0 0 80 
0 0 0 0 0 0 0 80 
0 0 0 0 0 0 0 80 
0 0 0 0 0 0 0 80 
0 0 0 0 0 0 0 80 
0 0 0 0 0 0 0 87 
0 0 0 0 0 0 0 87 
0 0 0 0 0 0 0 87 
0 0 0 0 0 0 0 87 
0 0 0 0 0 0 0 87 
0 0 0 0 0 0 0 87 
0 0 0 0 0 0 0 87 
0 0 0 0 0 0 0 87 
0 0 0 0 0 0 0 87 
0 0 0 0 0 0 0 87 
0 0 0 0 0 0 0 87 
0 0 0 0 0 0 0 87 
0 0 0 0 0 0 0 87 
0 0 0 0 0 0 0 87 
0 0 0 0 0 0 0 87 
0 0 0 0 0 0 0 87 
0 0 0 0 0 0 0 87 
0 0 0 0 0 0 0 87 
0 0 0 0 0 0 0 87 
0 0 0 0 0 0 0 87 
0 0 0 0 0 0 0 87 
0 0 0 0 0 0 0 87 
0 0 0 0 0 0 0 87 
0 0 0 0 0 0 0 87 
0 0 0 0 0 0 0 87 
0 0 0 0 0 0 0 87 
0 0 0 0 0 0 0 87 
0 0 0 0 0 0 0 87 
0 0 0 0 0 0 0 87 
0 0 0 0 0 0 0 87 
0 0 0 0 0 0 0 87 
0 0 0 0 0 0 0 87 
0 0 0 0 0 0 0 87 
0 0 0 0 0 0 0 87 
0 0 0 0 0 0 0 87 
0 0 0 0 0 0 0 87 
0 0 0 0 0 0 0 87 
0 0 0 0 0 0 0 87 
0 0 0 0 0 0 0 87 
0 0 0 0 0 0 0 87 
0 0 0 0 0 0 0 87 
0 0 0 0 0 0 0 87 
0 0 0 0 0 0 0 87 
0 0 0 0 0 0 0 87 
0 0 0 0 0 0 0 87 
0 0 0 0 0 0 0 87 
0 0 0 0 0 0 0 87 
0 0 0 0 0 0 0 87 
0 0 0 0 0 0 0 87 
0 0 0 0 0 0 0 87 
0 0 0 0 0 0 0 87 
0 0 0 0 0 0 0 87 
0 0 0 0 0 0 0 87 
0 0 0 0 0 0 0 87 
0 0 0 0 0 0 0 87 
0 0 0 0 0 0 0 87 
0 0 0 0 0 0 0 87 
0 0 0 0 0 0 0 87 
0 0 0 0 0 0 0 87 
0 0 0 0 0 0 0 87 
0 0 0 0 0 0 0 87 
0 0 0 0 0 0 0 87 
0 0 0 0 0 0 0 87 
0 0 0 0 0 0 0 87 
0 0 0 0 0 0 0 87 
0 0 0 0 0 0 0 87 
0 0 0 0 0 0 0 87 
0 0 0 0 0 0 0 87 
0 0 0 0 0 0 0 87 
0 0 0 0 0 0 0 87 
0 0 0 0 0 0 0 87 
0 0 0 0 0 0 0 87 
0 0 0 0 0 0 0 87 
0 0 0 0 0 0 0 87 
0 0 0 0 0 0 0 87 
0 0 0 0 0 0 0 87 
0 0 0 0 0 0 0 87 
0 0 0 0 0 0 0 87 
0 0 0 0 0 0 0 87 
0 0 0 0 0 0 0 87 
0 0 0 0 0 0 0 87 
0 0 0 0 0 0 0 87 
0 0 0 0 0 0 0 87 
0 0 0 0 0 0 0 87 
0 0 0 0 0 0 0 87 
0 0 0 0 0 0 0 87 
0 0 0 0 0 0 0 87 
0 0 0 0 0 0 0 87 
0 0 0 0 0 0 0 87 
0 0 0 0 0 0 0 87 
0 0 0 0 0 0 0 87 
0 0 0 0 0 0 0 87 
0 0 0 0 0 0 0 87 
0 0 0 0 0 0 0 87 
0 0 0 0 0 0 0 87 
0 0 0 0 0 0 0 87 
0 0 0 0 0 0 0 87 
0 0 0 0 0 0 0 87 
0 0 0 0 0 0 0 87 
0 0 0 0 0 0 0 87 
0 0 0 0 0 0 0 87 
0 0 0 0 0 0 0 87 
0 0 0 0 0 0 0 87 
0 0 0 0 0 0 0 87 
0 0 0 0 0 0 0 87 
0 0 0 0 0 0 0 87 
0 0 0 0 0 0 0 87 
0 0 0 0 0 0 0 87 
0 0 0 0 0 0 0 87 
0 0 0 0 0 0 0 87 
0 0 0 0 0 0 0 87 
0 0 0 0 0 0 0 87 
0 0 0 0 0 0 0 87 
0 0 0 0 0 0 0 87 
0 0 0 0 0 0 0 87 
0 0 0 0 0 0 0 87 
0 0 0 0 0 0 0 87 
0 0 0 0 0 0 0 87 
0 0 0 0 0 0 0 87 
0 0 0 0 0 0 0 87 
0 0 0 0 0 0 0 87 
0 0 0 0 0 0 0 87 
0 0 0 0 0 0 0 87 
0 0 0 0 0 0 0 87 
0 0 0 0 0 0 0 87 
0 0 0 0 0 0 0 87 
0 0 0 0 0 0 0 87 
0 0 0 0 0 0 0 87 
0 0 0 0 0 0 0 87 
0 0 0 0 0 0 0 87 
0 0 0 0 0 0 0 87 
0 0 0 0 0 0 0 87 
0 0 0 0 0 0 0 87 
0 0 0 0 0 0 0 87 
0 0 0 0 0 0 0 87 
0 0 0 0 0 0 0 87 
0 0 0 0 0 0 0 87 
0 0 0 0 0 0 0 87 
0 0 0 0 0 0 0 87 
0 0 0 0 0 0 0 87 
0 0 0 0 0 0 0 87 
0 0 0 0 0 0 0 87 
0 0 0 0 0 0 0 87 
0 0 0 0 0 0 0 87 
0 0 0 0 0 0 0 87 
0 0 0 0 0 0 0 87 
0 0 0 0 0 0 0 87 
0 0 0 0 0 0 0 87 
0 0 0 0 0 0 0 87 
0 0 0 0 0 0 0 87 
0 0 0 0 0 0 0 84 
0 0 0 0 0 0 0 84 
0 0 0 0 0 0 0 84 
0 0 0 0 0 0 0 84 
0 0 0 0 0 0 0 84 
0 0 0 0 0 0 0 84 
0 0 0 0 0 0 0 84 
0 0 0 0 0 0 0 84 
0 0 0 0 0 0 0 84 
0 0 0 0 0 0 0 84 
0 0 0 0 0 0 0 84 
0 0 0 0 0 0 0 84 
0 0 0 0 0 0 0 84 
0 0 0 0 0 0 0 84 
0 0 0 0 0 0 0 84 
0 0 0 0 0 0 0 84 
0 0 0 0 0 0 0 84 
0 0 0 0 0 0 0 84 
0 0 0 0 0 0 0 84 
0 0 0 0 0 0 0 84 
0 0 0 0 0 0 0 84 
0 0 0 0 0 0 0 84 
0 0 0 0 0 0 0 84 
0 0 0 0 0 0 0 84 
0 0 0 0 0 0 0 84 
0 0 0 0 0 0 0 84 
0 0 0 0 0 0 0 84 
0 0 0 0 0 0 0 84 
0 0 0 0 0 0 0 84 
0 0 0 0 0 0 0 84 
0 0 0 0 0 0 0 84 
0 0 0 0 0 0 0 84 
0 0 0 0 0 0 0 84 
0 0 0 0 0 0 0 84 
0 0 0 0 0 0 0 84 
0 0 0 0 0 0 0 84 
0 0 0 0 0 0 0 84 
0 0 0 0 0 0 0 84 
0 0 0 0 0 0 0 84 
0 0 0 0 0 0 0 84 
0 0 0 0 0 0 0 84 
0 0 0 0 0 0 0 84 
0 0 0 0 0 0 0 84 
0 0 0 0 0 0 0 84 
0 0 0 0 0 0 0 84 
0 0 0 0 0 0 0 84 
0 0 0 0 0 0 0 84 
0 0 0 0 0 0 0 84 
0 0 0 0 0 0 0 84 
0 0 0 0 0 0 0 84 
0 0 0 0 0 0 0 84 
0 0 0 0 0 0 0 84 
0 0 0 0 0 0 0 84 
0 0 0 0 0 0 0 84 
0 0 0 0 0 0 0 84 
0 0 0 0 0 0 0 84 
0 0 0 0 0 0 0 84 
0 0 0 0 0 0 0 84 
0 0 0 0 0 0 0 84 
0 0 0 0 0 0 0 84 
0 0 0 0 0 0 0 84 
0 0 0 0 0 0 0 84 
0 0 0 0 0 0 0 84 
0 0 0 0 0 0 0 84 
0 0 0 0 0 0 0 84 
0 0 0 0 0 0 0 84 
0 0 0 0 0 0 0 84 
0 0 0 0 0 0 0 84 
0 0 0 0 0 0 0 84 
0 0 0 0 0 0 0 84 
0 0 0 0 0 0 0 84 
0 0 0 0 0 0 0 84 
0 0 0 0 0 0 0 84 
0 0 0 0 0 0 0 84 
0 0 0 0 0 0 0 84 
0 0 0 0 0 0 0 84 
0 0 0 0 0 0 0 84 
0 0 0 0 0 0 0 84 
0 0 0 0 0 0 0 84 
0 0 0 0 0 0 0 84 
0 0 0 0 0 0 0 84 
0 0 0 0 0 0 0 84 
0 0 0 0 0 0 0 84 
0 0 0 0 0 0 0 84 
0 0 0 0 0 0 0 84 
0 0 0 0 0 0 0 84 
0 0 0 0 0 0 0 84 
0 0 0 0 0 0 0 84 
0 0 0 0 0 0 0 84 
0 0 0 0 0 0 0 84 
0 0 0 0 0 0 0 84 
0 0 0 0 0 0 0 84 
0 0 0 0 0 0 0 84 
0 0 0 0 0 0 0 84 
0 0 0 0 0 0 0 84 
0 0 0 0 0 0 0 84 
0 0 0 0 0 0 0 84 
0 0 0 0 0 0 0 84 
0 0 0 0 0 0 0 84 
0 0 0 0 0 0 0 84 
0 0 0 0 0 0 0 84 
0 0 0 0 0 0 0 84 
0 0 0 0 0 0 0 84 
0 0 0 0 0 0 0 84 
0 0 0 0 0 0 0 84 
0 0 0 0 0 0 0 84 
0 0 0 0 0 0 0 84 
0 0 0 0 0 0 0 84 
0 0 0 0 0 0 0 84 
0 0 0 0 0 0 0 84 
0 0 0 0 0 0 0 84 
0 0 0 0 0 0 0 84 
0 0 0 0 0 0 0 84 
0 0 0 0 0 0 0 84 
0 0 0 0 0 0 0 84 
0 0 0 0 0 0 0 84 
0 0 0 0 0 0 0 84 
0 0 0 0 0 0 0 84 
0 0 0 0 0 0 0 84 
0 0 0 0 0 0 0 84 
0 0 0 0 0 0 0 84 
0 0 0 0 0 0 0 84 
0 0 0 0 0 0 0 84 
0 0 0 0 0 0 0 84 
0 0 0 0 0 0 0 84 
0 0 0 0 0 0 0 84 
0 0 0 0 0 0 0 84 
0 0 0 0 0 0 0 84 
0 0 0 0 0 0 0 84 
0 0 0 0 0 0 0 84 
0 0 0 0 0 0 0 84 
0 0 0 0 0 0 0 84 
0 0 0 0 0 0 0 84 
0 0 0 0 0 0 0 84 
0 0 0 0 0 0 0 84 
0 0 0 0 0 0 0 84 
0 0 0 0 0 0 0 84 
0 0 0 0 0 0 0 84 
0 0 0 0 0 0 0 84 
0 0 0 0 0 0 0 84 
0 0 0 0 0 0 0 84 
0 0 0 0 0 0 0 84 
0 0 0 0 0 0 0 84 
0 0 0 0 0 0 0 84 
0 0 0 0 0 0 0 84 
0 0 0 0 0 0 0 84 
0 0 0 0 0 0 0 84 
0 0 0 0 0 0 0 84 
0 0 0 0 0 0 0 84 
0 0 0 0 0 0 0 84 
0 0 0 0 0 0 0 89 
0 0 0 0 0 0 0 89 
0 0 0 0 0 0 0 89 
0 0 0 0 0 0 0 89 
0 0 0 0 0 0 0 89 
0 0 0 0 0 0 0 89 
0 0 0 0 0 0 0 89 
0 0 0 0 0 0 0 89 
0 0 0 0 0 0 0 89 
0 0 0 0 0 0 0 89 
0 0 0 0 0 0 0 89 
0 0 0 0 0 0 0 89 
0 0 0 0 0 0 0 89 
0 0 0 0 0 0 0 89 
0 0 0 0 0 0 0 89 
0 0 0 0 0 0 0 89 
0 0 0 0 0 0 0 89 
0 0 0 0 0 0 0 89 
0 0 0 0 0 0 0 89 
0 0 0 0 0 0 0 89 
0 0 0 0 0 0 0 89 
0 0 0 0 0 0 0 89 
0 0 0 0 0 0 0 89 
0 0 0 0 0 0 0 89 
0 0 0 0 0 0 0 89 
0 0 0 0 0 0 0 89 
0 0 0 0 0 0 0 89 
0 0 0 0 0 0 0 89 
0 0 0 0 0 0 0 89 
0 0 0 0 0 0 0 89 
0 0 0 0 0 0 0 89 
0 0 0 0 0 0 0 89 
0 0 0 0 0 0 0 89 
0 0 0 0 0 0 0 89 
0 0 0 0 0 0 0 89 
0 0 0 0 0 0 0 89 
0 0 0 0 0 0 0 89 
0 0 0 0 0 0 0 89 
0 0 0 0 0 0 0 89 
0 0 0 0 0 0 0 89 
0 0 0 0 0 0 0 89 
0 0 0 0 0 0 0 89 
0 0 0 0 0 0 0 89 
0 0 0 0 0 0 0 89 
0 0 0 0 0 0 0 89 
0 0 0 0 0 0 0 89 
0 0 0 0 0 0 0 89 
0 0 0 0 0 0 0 89 
0 0 0 0 0 0 0 89 
0 0 0 0 0 0 0 89 
0 0 0 0 0 0 0 89 
0 0 0 0 0 0 0 89 
0 0 0 0 0 0 0 89 
0 0 0 0 0 0 0 89 
0 0 0 0 0 0 0 89 
0 0 0 0 0 0 0 89 
0 0 0 0 0 0 0 89 
0 0 0 0 0 0 0 89 
0 0 0 0 0 0 0 89 
0 0 0 0 0 0 0 89 
0 0 0 0 0 0 0 89 
0 0 0 0 0 0 0 89 
0 0 0 0 0 0 0 89 
0 0 0 0 0 0 0 89 
0 0 0 0 0 0 0 89 
0 0 0 0 0 0 0 89 
0 0 0 0 0 0 0 89 
0 0 0 0 0 0 0 89 
0 0 0 0 0 0 0 89 
0 0 0 0 0 0 0 89 
0 0 0 0 0 0 0 89 
0 0 0 0 0 0 0 89 
0 0 0 0 0 0 0 89 
0 0 0 0 0 0 0 89 
0 0 0 0 0 0 0 89 
0 0 0 0 0 0 0 89 
0 0 0 0 0 0 0 89 
0 0 0 0 0 0 0 89 
0 0 0 0 0 0 0 89 
0 0 0 0 0 0 0 89 
0 0 0 0 0 0 0 89 
0 0 0 0 0 0 0 89 
0 0 0 0 0 0 0 89 
0 0 0 0 0 0 0 89 
0 0 0 0 0 0 0 89 
0 0 0 0 0 0 0 89 
0 0 0 0 0 0 0 89 
0 0 0 0 0 0 0 89 
0 0 0 0 0 0 0 89 
0 0 0 0 0 0 0 89 
0 0 0 0 0 0 0 89 
0 0 0 0 0 0 0 89 
